Real,Previsto
15.0,17.66365649221949
6.0,17.26730392472384
7.0,19.591315285319446
65.0,48.41920189098498
12.0,25.16097024198941
29.0,30.50988441475976
38.0,82.1772303885538
12.0,25.16097024198941
8.0,13.874459069813273
10.0,25.16097024198941
7.0,17.26730392472384
9.0,17.26730392472384
62.0,118.23503226628344
19.0,41.50010215852305
26.0,38.57715015463165
77.0,66.1062800036081
8594.0,8852.25857268255
164.0,871.2229205444852
3.0,17.26730392472384
39.0,42.30293207530322
637.0,631.9208159016963
78.0,265.1373563016335
2.0,17.26730392472384
15.0,17.26730392472384
5.0,17.26730392472384
5.0,17.26730392472384
1.0,17.26730392472384
5.0,17.26730392472384
1.0,17.26730392472384
5.0,17.26730392472384
1.0,17.26730392472384
7.0,17.26730392472384
4.0,17.26730392472384
7.0,13.874459069813273
1.0,17.26730392472384
4.0,17.26730392472384
2.0,17.26730392472384
6.0,17.26730392472384
6.0,17.26730392472384
1.0,17.26730392472384
4.0,17.26730392472384
6.0,17.26730392472384
1.0,17.26730392472384
133.0,284.76716268331296
5.0,48.85603337049389
66.0,533.4558092131881
88.0,606.3220970372342
53.0,244.27460565517188
2.0,17.26730392472384
14.0,48.85603337049389
25.0,119.39533541647198
7.0,119.39533541647198
33.0,260.75749664537466
11.0,17.26730392472384
20.0,22.616218097494187
140.0,167.72444932727882
382.0,462.3614371209201
83.0,85.89882354210782
242.0,167.72444932727882
30.0,28.401280742156327
7.0,40.89832762205978
26.0,56.85816427240609
99.0,65.33892436069668
365.0,457.2375761140775
4.0,24.940229458089792
132.0,144.82387617877248
116.0,356.10767469769524
7.0,17.66365649221949
6.0,17.26730392472384
4.0,17.66365649221949
3.0,17.26730392472384
2.0,17.26730392472384
5.0,17.26730392472384
58.0,209.91411961642365
107.0,147.4792210931352
41.0,79.95102374062537
45.0,32.46088033894989
128.0,140.4340834980593
130.0,152.42007084506582
101.0,158.51813130294627
95.0,167.72444932727882
94.0,104.46172024717089
7.0,17.26730392472384
248.0,212.43482797119384
175.0,183.63726126693072
2.0,17.26730392472384
1635.0,2608.413816675591
1.0,17.26730392472384
1.0,70.6674337355546
13.0,25.16097024198941
1.0,17.26730392472384
16.0,24.54387689059414
45.0,24.940229458089792
361.0,642.7379113321248
46.0,125.51160523215374
17.0,17.26730392472384
60.0,289.0326309557148
4.0,48.85603337049389
12.0,50.9070464393506
46.0,68.64857690899355
30.0,11.985169939046234
4.0,17.26730392472384
7.0,17.66365649221949
8.0,17.26730392472384
113.0,89.15734176495789
132.0,107.77137279546776
135.0,167.72444932727882
8.0,17.66365649221949
135.0,107.42755742726679
100.0,78.02336494752541
12.0,17.66365649221949
12.0,17.26730392472384
13.0,17.66365649221949
104.0,1067.7590512045215
95.0,891.8220119686442
91.0,32.437543207859726
9.0,25.16097024198941
18.0,10.057511145946282
4.0,17.26730392472384
70.0,265.1373563016335
7.0,17.26730392472384
4.0,28.401280742156327
5.0,17.26730392472384
13.0,17.26730392472384
13.0,17.26730392472384
30.0,48.85603337049389
61.0,60.32121735894599
5.0,17.26730392472384
397.0,309.6740504409081
11.0,17.26730392472384
11.0,17.26730392472384
4.0,17.26730392472384
2.0,17.26730392472384
4.0,93.32774342973838
12.0,50.78369216359384
3.0,17.26730392472384
2.0,17.26730392472384
7.0,19.194962717823795
28.0,19.194962717823795
7.0,19.591315285319446
11.0,17.26730392472384
10.0,17.26730392472384
7.0,17.26730392472384
21.0,19.194962717823795
8.0,17.26730392472384
44.0,19.591315285319446
19.0,19.591315285319446
29.0,20.007996332159426
23.0,19.591315285319446
22.0,17.26730392472384
20.0,41.50010215852305
8.0,19.194962717823795
2.0,19.194962717823795
3.0,25.16097024198941
6.0,40.37527328220327
21.0,21.93565512525938
34.0,19.591315285319446
17.0,17.26730392472384
4.0,17.26730392472384
13.0,17.66365649221949
32.0,25.70758510100121
2.0,17.26730392472384
1.0,17.26730392472384
5.0,17.26730392472384
11.0,17.26730392472384
13.0,46.49154309788503
4.0,17.26730392472384
99.0,260.75749664537466
3.0,17.26730392472384
2.0,17.26730392472384
4.0,20.007996332159426
1.0,17.26730392472384
5.0,17.26730392472384
9.0,17.26730392472384
3.0,17.26730392472384
9.0,17.26730392472384
162.0,309.2778591898585
30.0,32.46088033894989
15.0,17.26730392472384
100.0,129.369009083716
0.0,56.78645237869371
1.0,17.26730392472384
28.0,50.78369216359384
17.0,17.26730392472384
35.0,30.533221545849926
1.0,17.26730392472384
5.0,17.26730392472384
82.0,152.42007084506582
33.0,17.66365649221949
9.0,33.20489885077114
109.0,54.204947543264225
10.0,27.088629035089365
50.0,109.69903158856772
5.0,17.66365649221949
11.0,17.26730392472384
324.0,335.58089354182164
57.0,42.30293207530322
93.0,62.24887615204594
11.0,17.66365649221949
13.0,17.66365649221949
9.0,19.591315285319446
164.0,65.33892436069668
4.0,17.26730392472384
3.0,17.26730392472384
31.0,19.194962717823795
1.0,17.26730392472384
63.0,152.42007084506582
8.0,17.26730392472384
3.0,27.088629035089365
5.0,17.26730392472384
34.0,25.16097024198941
1.0,17.26730392472384
2.0,17.26730392472384
8.0,17.26730392472384
8.0,17.26730392472384
7.0,17.26730392472384
8.0,17.26730392472384
2.0,17.26730392472384
21.0,30.533221545849926
2.0,17.26730392472384
3.0,17.26730392472384
1.0,17.26730392472384
3.0,17.26730392472384
57.0,137.86483864796296
35.0,99.11280607440054
154.0,453.5987347222324
2.0,25.16097024198941
1.0,25.16097024198941
1.0,17.26730392472384
3.0,39.5724433654231
53.0,46.849016331293384
36.0,47.65184624807356
2.0,19.194962717823795
7.0,28.797633309651978
8.0,38.46888293765005
7.0,48.97938764625065
6.0,25.16097024198941
1.0,17.26730392472384
52.0,84.21649201302726
310.0,309.2778591898585
178.0,319.38381211214465
27.0,38.57715015463165
15.0,51.50925009963575
84.0,79.95102374062537
30.0,33.20489885077114
65.0,134.71792325648633
248.0,462.3614371209201
1.0,17.26730392472384
2.0,17.26730392472384
2.0,17.26730392472384
7.0,17.26730392472384
3.0,17.26730392472384
11.0,17.26730392472384
9.0,36.6494913615317
14.0,59.25284093453386
1.0,17.26730392472384
1.0,17.26730392472384
58.0,152.42007084506582
32.0,261.71610092196306
5.0,20.007996332159426
4.0,17.66365649221949
51.0,80.67658167666728
11.0,17.26730392472384
24.0,32.437543207859726
23.0,27.088629035089365
21.0,21.93565512525938
30.0,27.088629035089365
370.0,798.9197409892387
3.0,17.66365649221949
3.0,10.057511145946282
1.0,25.16097024198941
11.0,47.01459743774154
29.0,25.16097024198941
2.0,17.26730392472384
7.0,17.26730392472384
5.0,17.26730392472384
5.0,17.26730392472384
10.0,17.26730392472384
4.0,21.93565512525938
6.0,17.26730392472384
1.0,17.26730392472384
12.0,25.16097024198941
4.0,17.26730392472384
2.0,17.26730392472384
9.0,17.26730392472384
2.0,19.194962717823795
6.0,39.119440614325455
1.0,17.26730392472384
31.0,143.21375282073328
1.0,17.26730392472384
2.0,17.26730392472384
