Data,Real,Linear Regression,Random Forest,Gradient Boosting
2024-01-01,273927.354,-537008.1143629218,421418.8107847619,457412.50597364357
2024-02-01,301258.84,-498615.2263907788,385419.0575657143,373085.43752080057
2024-03-01,516426.127,-433438.76157339045,452311.85736761906,483726.11103285186
2024-04-01,305277.407,-346057.63890160364,580839.687812381,572011.0674018641
2024-05-01,348664.471,-277054.93078668194,409640.9322114286,420731.2826469219
2024-06-01,340424.381,-176206.1356430152,489090.4774142857,496023.37640179676
