Real,Previsto
18.0,34.39112
65.0,61.2
17.0,15.32
24.0,18.72402
17.0,18.94
17.0,16.76
28.0,38.62
5.0,15.54
20.0,13.7
7.0,16.6
64.0,77.18
17.0,40.9
16.0,16.84
4.0,20.44
43.0,32.62
22.0,20.96
28.0,24.82
13.0,24.452759999999998
48.0,37.76746
1.0,3.08
9.0,10.379079999999998
1.0,12.92
1.0,8.86
2.0,17.58
1.0,12.14
1.0,19.06
23.0,5.56
4.0,46.24
18.0,32.9604
2.0,9.88
6.0,38.24
8.0,4.6866666666666665
25.0,11.5
8.0,9.76
23.0,20.86
9.0,9.68
59.0,35.56
42.0,33.34
31.0,37.38
27.0,38.29638
12.0,21.02
18.0,25.24
55.0,114.32
72.0,91.34
5.0,3.68
5.0,5.11
27.0,21.08
5.0,10.84
16.0,8.36
11.0,17.28
12.0,8.88444
382.0,1557.22
6.0,5.26
5.0,9.12
4.0,4.96
90.0,55.84
32.0,52.14
2.0,33.14
3.0,8.96
52.0,32.94
12.0,30.02
9.0,12.36
85.0,110.24
1.0,5.4
13.0,17.72
28.0,25.32
20.0,17.28
40.0,59.16
1.0,2.96
10.0,24.26
38.0,105.9
11.0,23.033360000000002
5.0,6.5
10.0,39.24
7.0,25.42
35.0,82.02
13.0,22.68
2.0,7.24
8.0,11.92
24.0,20.6
2.0,9.34
8.0,17.08
3.0,11.06
16.0,33.42
34.0,17.66
42.0,43.44
1519.0,1692.9
56.0,39.96
25.0,27.46
9.0,9.62
10.0,11.860199999999999
13.0,23.18
261.0,432.9
182.0,259.52
3.0,2.4
8.994,26.08
5.5,6.22
5.0,21.2
1.0,3.28
76.0,86.86
530.0,1672.9
8.0,75.02
2.0,4.68
11.0,10.14
3.0,4.92
1.0,6.52
6.0,10.98
123.0,73.72
5.0,12.84
17.0,9.54
2.0,13.12
9.0,10.06
26.0,33.94
11.0,40.12
14.0,19.8
10.0,37.42
44.0,65.51388000000001
35.0,180.16
15.0,69.9
1.0,18.54
1.0,18.56
950.0,370.38
2.0,11.08
2.0,6.0
4.0,12.06
8.0,5.3
9.0,6.26
7.0,15.12
1.0,24.86
1.0,24.54
102.0,124.44
169.0,1347.68
1.0,2.42
65.0,75.96
56.0,44.98
2.0,5.92
9.0,20.7
11.0,21.82
9.0,71.72
2.0,2.62
5.0,12.84
2.0,3.9
2.0,4.58
9.0,6.06
3.0,8.12
4.0,13.26
1.0,4.1
6.0,5.04
7.0,19.42996
4.0,10.59878
8.0,13.8
1.0,1.81904
3.0,7.6
5.0,5.48
5.0,31.5
77.0,88.2
39.0,51.48
5.0,24.16
19.0,83.58
3.0,33.02
49.0,36.96
34.0,48.76
7.0,17.82
47.0,53.76
17.0,23.68
49.0,38.5
273.0,77.42
15.0,15.0
10.0,13.78
5.0,5.44
19.0,20.94
36.0,36.62
16.0,27.16
7.0,15.66
12.0,35.64
36.0,35.2
3.0,10.061666666666666
46.0,47.42
24.0,43.34
7.0,7.06
109.0,81.48
40.0,48.02
45.0,38.02
525.0,379.72
12.0,34.54
24.0,45.02
1.0,4.9
1.0,6.0
2.0,3.1499066666666664
4.0,8.66
6.0,8.38
2.0,4.36
5.0,5.16
3.0,19.14
4.0,3.48
1.0,5.76
5.0,5.04
4.0,5.66
6.0,6.84
4.0,8.16
6.0,7.92
3.0,3.06
2.0,2.42
6.0,5.04
4.0,22.98
1.0,4.26
5.0,4.9
1.0,4.1
11.0,10.087240000000001
3.0,5.28
2.0,4.38
3.0,6.66
4.0,10.7
1.0,4.48
29.0,28.98402
23.0,39.6
4.0,10.2
1.0,3.26
1.0,2.08
34.0,26.8
14.0,19.94
17.0,16.74
26.0,21.54
12.0,25.74
31.0,28.64402
22.0,26.36
1.0,2.635
2.0,1.73168
3.0,3.342
1.0,3.04
4.0,2.34
1.0,3.6439999999999997
39.0,33.24
1.0,3.3696800000000002
7.0,2.15
3.0,2.83678
2.0,2.9
1.0,3.92
40.0,34.24
44.0,34.04
21.0,19.78
2.0,3.96
1.0,5.52
9.0,3.48
22.0,10.76
16.0,15.54
6.0,3.02
54.0,70.78
132.0,112.08
64.0,55.34
117.0,83.26
