Data,PRODUTO,Real,Linear Regression,Random Forest,Gradient Boosting
2024-01-01,MARSHMALLOW TORCAO ROSA 250G FINI,140.0,0.0,171.5,167.72444932727882
2024-01-01,MARSHMALLOW TORCAO CB 250G FINI,382.0,47.110181530160304,310.86,462.3614371209201
2024-01-01,MARSHMALLOW TORCAO BRANCO 250G FINI,83.0,0.0,91.9,85.89882354210782
2024-01-01,MARSHMALLOW TORCAO AZUL 250G FINI,242.0,0.0,133.8,167.72444932727882
2024-01-01,MARSHMALLOW FOFS TUBE COLORIDO 220G FLORESTAL,30.0,0.0,47.08,28.401280742156327
2024-01-01,MARSHMALLOW FOFS TWIST DINOS 220G FLORESTAL,7.0,0.0,56.76,40.89832762205978
2024-01-01,MARSHMALLOW FOFS TWIST PRINCESS 220G FLORESTAL,26.0,0.0,47.52,56.85816427240609
2024-01-01,MARSHMALLOW MORANGO 250G FINI,99.0,0.0,106.52,65.33892436069668
2024-01-01,MARSHMALLOW RECH TORCAO  250G FINI,365.0,116.71190465812316,679.12,457.2375761140775
2024-01-01,MARSHMALLOW RECH TWIST PINTA LINGUA 220G DOCILE,4.0,0.0,35.48,24.940229458089792
2024-01-01,MARSHMALLOW RECHEADO AZUL/BRANCO 250G FINI,132.0,0.0,163.9,144.82387617877248
2024-01-01,MARSHMALLOW RECHEADO ROSA/BRANCO 250G FINI,116.0,4.30216200321189,1941.56,356.10767469769524
2024-01-01,MARSHMALLOW TORCAO 80G FINI,7.0,0.0,20.98,17.66365649221949
2024-01-01,MASSA DE PASTILHAGEM 500G ARCOLOR,6.0,0.0,7.62,17.26730392472384
2024-01-01,MEL EM SACHE 40G FAUNA E FLORA,4.0,0.0,10.74,17.66365649221949
2024-01-01,MEL SILVESTRE BISNAGA 250G BOM PRINCIPIO,3.0,0.0,6.2,17.26730392472384
2024-01-01,MASSA ELASTICA 500G ARCOLOR,2.0,0.0,8.5,17.26730392472384
2024-01-01,MASSA PARA FLORES 500G ARCOLOR,5.0,0.0,3.24,17.26730392472384
2024-01-01,MASTER 50G C/160 ZIM COLOR,58.0,57.12346712760865,245.86,209.91411961642365
2024-01-01,MASTER SORTIDO 100G C/80 ZIM COLOR,107.0,0.0,188.86,147.4792210931352
2024-01-01,MAXMALLOWS CORACAO MORANGO 250G DOCILE,41.0,0.0,79.08,79.95102374062537
2024-01-01,MAXMALLOWS RECH CARINHAS 220G DOCILE,45.0,0.0,41.1,32.46088033894989
2024-01-01,MAXMALLOWS RECHEIO MORANGO 220G DOCILE,128.0,0.0,136.18,140.4340834980593
2024-01-01,MAXMALLOWS TWIST COLORIDO BAUNILHA C/MORANGO 220G DOCILE,130.0,0.0,132.32,152.42007084506582
2024-01-01,MAXMALLOWS TWIST RECH AZUL/BCO C/MORANGO 220G DOCILE,101.0,23.983742363597543,185.1,158.51813130294627
2024-01-01,MAXMALLOWS TWIST RECH ROSA/BCO C/MORANGO 220G DOCILE,95.0,15.680680163515603,195.08,167.72444932727882
2024-01-01,MAXMALLOWS TWIST COLORIDO BAUNILHA C/MORANGO UNICORNIO 220G DOCILE,94.0,1.002175300447277,187.92,104.46172024717089
2024-01-01,LIGA NEUTRA 100G ICEBERG,7.0,0.0,18.34,17.26730392472384
2024-01-01,LIGA NEUTRA 100G MARVI,248.0,154.9699481094172,259.68,212.43482797119384
2024-01-01,LIGA NEUTRA 1KG MARVI,175.0,0.0,174.14,183.63726126693072
2024-01-01,LOURO FOLHAS 7G PANCADA,2.0,0.0,3.76,17.26730392472384
2024-01-01,LETRAS E.V.A,1635.0,1893.9174841091676,2514.96,2608.413816675591
2024-01-01,LEMBRANCINHA E.V.A GRANDE C/10 KI LETRAS,1.0,0.0,5.463333333333334,17.26730392472384
2024-01-01,LEITE DE COCO 200ML TAMPA E ROSCA DUCOCO,1.0,0.0,103.74,70.6674337355546
2024-01-01,LEITE DE COCO 500ML MENINA,13.0,0.0,37.8,25.16097024198941
2024-01-01,LEITE EM PO CAMPONESA DESNATADO 500G EMBARE,1.0,0.0,3.213333333333333,17.26730392472384
2024-01-01,LEITE EM PO CAMPONESA INSTANTANEO 400G EMBARE,16.0,0.0,23.24,24.54387689059414
2024-01-01,LEITE EM PO CAMPONESA INTEGRAL 400G EMBARE,45.0,0.0,46.72,24.940229458089792
2024-01-01,LEITE EM PO NINHO INTEGRAL 380G NESTLE,361.0,241.82722680737749,613.42,642.7379113321248
2024-01-01,LEMBRANCINHA,46.0,0.0,134.92,125.51160523215374
2024-01-01,LEMBRANCINHA 1,17.0,0.0,19.1,17.26730392472384
2024-01-01,LEMBRANCINHA 2,60.0,0.0,184.36,289.0326309557148
2024-01-01,LEMBRANCINHA 3,4.0,0.0,40.68,48.85603337049389
2024-01-01,LEITE DE COCO 200ML MENINA,12.0,0.0,51.56,50.9070464393506
2024-01-01,M&M CRISPY  35G,46.0,0.0,46.16,68.64857690899355
2024-01-01,M&M'S AMENDOIM PUSH 148G,30.0,0.0,47.48,11.985169939046234
2024-01-01,MARSH RECHEADO AZUL/BRANCO 80G FINI,4.0,0.0,19.86,17.26730392472384
2024-01-01,MARSH RECHEADO ROSA/BRANCO 80G FINI,7.0,0.0,27.68,17.66365649221949
