Data,Real,Linear Regression,Random Forest,Gradient Boosting
2024-01-01,273927.354,190480.30376290838,421418.8107847619,457412.50597364357
2024-02-01,301258.84,204252.37362169215,385419.0575657143,373085.43752080057
2024-03-01,516426.127,231078.27921015673,452311.85736761906,483726.11103285186
2024-04-01,305277.407,240765.05076708875,580839.687812381,572474.1552193076
2024-05-01,348664.471,237796.46117066173,409640.9322114286,421285.45569152635
2024-06-01,340424.381,232143.80928252198,489090.4774142857,496398.2383148926
