"LOJA";"CODIGO";"PRODUTO";"DEPARTAMENTO";"QUANTIDADE";"MES"
"1";"555845";"ACHOCOLATADO EM PO 370G NESCAU ACT-GO NESTLE";"MERCEARIA";"8";"2022-11"
"7";"555845";"ACHOCOLATADO EM PO 370G NESCAU ACT-GO NESTLE";"MERCEARIA";"5";"2022-11"
"4";"555845";"ACHOCOLATADO EM PO 370G NESCAU ACT-GO NESTLE";"MERCEARIA";"5";"2022-11"
"5";"589444";"ACHOCOLATADO NESCAU BRANCO 180G NESTLE";"MERCEARIA";"1";"2022-11"
"1";"91534";"ACHOCOLATADO NESCAU 33% MENOS ACUCAR 350G NESTLE";"MERCEARIA";"1";"2022-11"
"4";"195089";"ACHOCOLATADO OVOMALTINE FLOCOS CROCANTE 300G";"MERCEARIA";"2";"2022-11"
"7";"195089";"ACHOCOLATADO OVOMALTINE FLOCOS CROCANTE 300G";"MERCEARIA";"3";"2022-11"
"1";"195089";"ACHOCOLATADO OVOMALTINE FLOCOS CROCANTE 300G";"MERCEARIA";"22";"2022-11"
"7";"394260";"ACHOCOLATADO ZERO ACUCAR 210G LINEA";"MERCEARIA";"1";"2022-11"
"1";"394260";"ACHOCOLATADO ZERO ACUCAR 210G LINEA";"MERCEARIA";"1";"2022-11"
"4";"394260";"ACHOCOLATADO ZERO ACUCAR 210G LINEA";"MERCEARIA";"3";"2022-11"
"1";"54201";"ACIDO CITRICO 40G ARCOLOR";"CONFEITARIA";"5";"2022-11"
"4";"54201";"ACIDO CITRICO 40G ARCOLOR";"CONFEITARIA";"10";"2022-11"
"4";"48";"ACIDO CITRICO 50G MAGO";"CONFEITARIA";"1";"2022-11"
"7";"48";"ACIDO CITRICO 50G MAGO";"CONFEITARIA";"5";"2022-11"
"1";"48";"ACIDO CITRICO 50G MAGO";"CONFEITARIA";"1";"2022-11"
"7";"54546";"ACIDO CITRICO 50G MIX";"CONFEITARIA";"2";"2022-11"
"5";"54546";"ACIDO CITRICO 50G MIX";"CONFEITARIA";"2";"2022-11"
"4";"54546";"ACIDO CITRICO 50G MIX";"CONFEITARIA";"2";"2022-11"
"7";"216708";"ACUCAR COLORIDO AMARELO 500G MAVALERIO";"CONFEITARIA";"2";"2022-11"
"1";"216708";"ACUCAR COLORIDO AMARELO 500G MAVALERIO";"CONFEITARIA";"2";"2022-11"
"4";"244510";"ACUCAR COLORIDO AMARELO 80G MAVALERIO";"CONFEITARIA";"1";"2022-11"
"1";"244510";"ACUCAR COLORIDO AMARELO 80G MAVALERIO";"CONFEITARIA";"1";"2022-11"
"5";"244510";"ACUCAR COLORIDO AMARELO 80G MAVALERIO";"CONFEITARIA";"4";"2022-11"
"4";"534963";"ACUCAR COLORIDO AMARELO 80G MIX";"CONFEITARIA";"2";"2022-11"
"7";"216715";"ACUCAR COLORIDO AZUL 500G MAVALERIO";"CONFEITARIA";"2";"2022-11"
"1";"216715";"ACUCAR COLORIDO AZUL 500G MAVALERIO";"CONFEITARIA";"1";"2022-11"
"4";"216722";"ACUCAR COLORIDO BRANCO 500G MAVALERIO";"CONFEITARIA";"2";"2022-11"
"4";"244534";"ACUCAR COLORIDO BRANCO 80G MAVALERIO";"CONFEITARIA";"1";"2022-11"
"5";"244534";"ACUCAR COLORIDO BRANCO 80G MAVALERIO";"CONFEITARIA";"3";"2022-11"
"7";"244619";"ACUCAR COLORIDO VERDE 500G MAVALERIO";"CONFEITARIA";"1";"2022-11"
"7";"216746";"ACUCAR COLORIDO VERMELHO 500G MAVALERIO";"CONFEITARIA";"2";"2022-11"
"1";"51538";"ACUCAR CRISTAL AZUL 500G MIX";"CONFEITARIA";"1";"2022-11"
"1";"51668";"ACUCAR CRISTAL AZUL 80G MIX";"CONFEITARIA";"1";"2022-11"
"5";"51668";"ACUCAR CRISTAL AZUL 80G MIX";"CONFEITARIA";"3";"2022-11"
"4";"51668";"ACUCAR CRISTAL AZUL 80G MIX";"CONFEITARIA";"5";"2022-11"
"7";"51651";"ACUCAR CRISTAL INCOLOR 80G MIX";"CONFEITARIA";"1";"2022-11"
"4";"51651";"ACUCAR CRISTAL INCOLOR 80G MIX";"CONFEITARIA";"3";"2022-11"
"5";"51651";"ACUCAR CRISTAL INCOLOR 80G MIX";"CONFEITARIA";"2";"2022-11"
"4";"51644";"ACUCAR CRISTAL LARANJA 80G MIX";"CONFEITARIA";"3";"2022-11"
"5";"451963";"ACUCAR CRISTAL LILAS 500G MIX";"CONFEITARIA";"2";"2022-11"
"4";"51675";"ACUCAR CRISTAL LILAS 80G MIX";"CONFEITARIA";"2";"2022-11"
"4";"51569";"ACUCAR CRISTAL PRETO 500G MIX";"CONFEITARIA";"1";"2022-11"
"1";"51576";"ACUCAR CRISTAL ROSA 500G MIX";"CONFEITARIA";"2";"2022-11"
"4";"51620";"ACUCAR CRISTAL ROSA 80G MIX";"CONFEITARIA";"9";"2022-11"
